1	0.000000	fe80::60d5:c2ff:fed6:3b1d	ff02::fb	MDNS	107	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
111	38.058564	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=1076 Ack=1786 Win=42496 Len=31 TSval=4221980099 TSecr=768803287 [TCP segment of a reassembled PDU]
112	38.060155	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1786 Ack=1107 Win=43520 Len=51 TSval=768804290 TSecr=4221980099 [TCP segment of a reassembled PDU]
113	38.060175	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1107 Ack=1837 Win=42496 Len=0 TSval=4221980101 TSecr=768804290
114	39.061929	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=1107 Ack=1837 Win=42496 Len=31 TSval=4221981103 TSecr=768804290 [TCP segment of a reassembled PDU]
115	39.062238	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1837 Ack=1138 Win=43520 Len=51 TSval=768805292 TSecr=4221981103 [TCP segment of a reassembled PDU]
116	39.062250	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1138 Ack=1888 Win=42496 Len=0 TSval=4221981103 TSecr=768805292
117	40.064905	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=1138 Ack=1888 Win=42496 Len=31 TSval=4221982106 TSecr=768805292 [TCP segment of a reassembled PDU]
118	40.064985	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1888 Ack=1169 Win=43520 Len=51 TSval=768806295 TSecr=4221982106 [TCP segment of a reassembled PDU]
119	40.064989	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1169 Ack=1939 Win=42496 Len=0 TSval=4221982106 TSecr=768806295
120	41.066606	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=1169 Ack=1939 Win=42496 Len=31 TSval=4221983108 TSecr=768806295 [TCP segment of a reassembled PDU]
121	41.066859	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1939 Ack=1200 Win=43520 Len=51 TSval=768807297 TSecr=4221983108 [TCP segment of a reassembled PDU]
122	41.066870	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1200 Ack=1990 Win=42496 Len=0 TSval=4221983108 TSecr=768807297
123	42.068765	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=1200 Ack=1990 Win=42496 Len=31 TSval=4221984110 TSecr=768807297 [TCP segment of a reassembled PDU]
124	42.069078	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1990 Ack=1231 Win=43520 Len=51 TSval=768808299 TSecr=4221984110 [TCP segment of a reassembled PDU]
125	42.069091	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1231 Ack=2041 Win=42496 Len=0 TSval=4221984110 TSecr=768808299
126	43.070218	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=1231 Ack=2041 Win=42496 Len=31 TSval=4221985111 TSecr=768808299 [TCP segment of a reassembled PDU]
127	43.070394	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=2041 Ack=1262 Win=43520 Len=51 TSval=768809300 TSecr=4221985111 [TCP segment of a reassembled PDU]
128	43.070401	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1262 Ack=2092 Win=42496 Len=0 TSval=4221985111 TSecr=768809300
129	43.745229	10.0.1.2	10.0.1.5	TCP	66	9999 → 38882 [FIN, ACK] Seq=2092 Ack=1262 Win=43520 Len=0 TSval=768809975 TSecr=4221985111
130	43.786015	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1262 Ack=2093 Win=42496 Len=0 TSval=4221985827 TSecr=768809975
131	44.072197	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=1262 Ack=2093 Win=42496 Len=31 TSval=4221986113 TSecr=768809975 [TCP segment of a reassembled PDU]
132	44.072240	10.0.1.2	10.0.1.5	TCP	54	9999 → 38882 [RST] Seq=2093 Win=0 Len=0
